;date;text;geo;mentions;hashtags;Unnamed: 5
0;2013-01-01;I wear leggings more than jeans now, I'm addicted;;;;
1;2013-01-01;Yo face in my jeans RT @DeezDoubleDeez : u grow an inch? third eye on forehead? whats changed?RT @me : So, I hvnt taken my 1st pic of 2013 yet;;@DeezDoubleDeez @me;;
5;2013-01-01;Yesss I get to wear jeans to work tomorrow;;;;
6;2013-01-01;Need to cop some new jeans;;;;
8;2013-01-01;Skinny jeans wearing motherfucker;;;;
9;2013-01-01;ripped jeans for today;;;;
10;2013-01-01;@lrussi02 me too.. Lol im abt to look so gross tmmrw i havent worn jeans in like 10 days and im not abt to start tmmrw;;@lrussi02;;
14;2013-01-01;@LaydeeCeCe jeans and boots.... ugh... but its other people with jeans and uggs on...but still;;@LaydeeCeCe;;
15;2013-01-01;i wore my good butt jeans today;;;;
17;2013-01-01;Tsk tsk RT @rebeccagberg : Have seen more than a few members of Congress walk into the House chamber wearing jeans …;Mineral, MO;@rebeccagberg;;
19;2013-01-01;Real men don't wear skinny jeans or bleached denim! THEY JUST DON'T.;;;;
21;2013-01-01;Your jeans are so tight you have underwear lines! @techniciankcmo;;@techniciankcmo;;
22;2013-01-01;I put jeans on... It's the apocalypse...;;;;
23;2013-01-01;I really dislike jeans that show your ankles off, it's winter you will get cold.;;;;
24;2013-01-01;Should i wear Leggings, jeans or sweats tomorrow;;;;
26;2013-01-01;Damn I need a new pair of jeans;;;;
28;2013-01-01;@blessedfyi Kindly follow my Christ base fashion company @jeans _africa Ltd;;@blessedfyi @jeans;;
30;2013-01-01;Cute top, and jeans with a slim leg. Slim leg! @girlshbo;;@girlshbo;;
31;2013-01-01;stroll in the club with her tight fit jeans , praying that she might get seen;;;;
32;2013-01-01;I can see your toner through those jeans ...;;;;
33;2013-01-01;This may be a first... several representatives are on the house floor wearing jeans . Happy New Year congress!;;;;
34;2013-01-01;@eriiikalynn12 It was in the back pocket of my jeans ! When I pulled them down to go pee, it fell in! And I didn't know it lol;;@eriiikalynn12;;
36;2013-01-01;Blue jeans , white shirt, walked into the room you know you made my eyes burn, it was like James Dean for sure;;;;
37;2013-01-01;“ @LeMakaveli : Jeans , sweater, and my uggs. #foreverchillin ” yup.;;@LeMakaveli;#foreverchillin;
38;2013-01-01;Theyve finally isolated the gay gene. Hmmm yep these are some gay jeans !! These jeans def like other boys;;;;
39;2013-01-01;News to get these jeans this week for Friday;;;;
41;2013-01-01;@rayna2323 Damn straight, it hey ain't got the formula Night fitting jeans + swaggg= a good twerkk;;@rayna2323;;
42;2013-01-01;But that bitch was wearin flare jeans;;;;
44;2013-01-01;If you plan on wearing jeans tomorrow, I give you props;;;;
45;2013-01-01;Well u would just have to wait.... Ill be in my house cut off tee acid wash jeans and door knocker earrings ... With my music up loud;;;;
46;2013-01-01;Jeans , sweater, and my uggs. #foreverchillin;;;#foreverchillin;
47;2013-01-01;@tomsegura what dates are you be at in Michigan. So I can wear my mommy jeans real high and tight!!!;;@tomsegura;;
51;2013-01-01;Idk if I want to wear a dress...or some cute jeans;;;;
52;2013-01-01;@lia_lowry @jonnybarnes_ how come ur jeans dont reach your ankles :s :/;;@lia_lowry @jonnybarnes_;;
53;2013-01-01;@ImmaZombiexD you have never worn skinny jeans ? :o well then welcome to heaven #iloveskinnyjeans;;@ImmaZombiexD;#iloveskinnyjeans;
54;2013-01-01;So I am going put with my friend today and I had what I was going to wear all ready and turns out my jeans are soaking wet -.-;;;;
55;2013-01-01;To wear jeans to work or not wear jeans to work;;;;
56;2013-01-01;“@ReaIFatAmy: How to put on Jeans : 1. Grab belt loops 2. Jump around like a bunny 3. Twerk for a few minutes 4. Lunge left 5. Lunge right.”;;@ReaIFatAmy;;
57;2013-01-01;@trillex_ then we can still go tomorrow, babe! I need jeans .;;@trillex_;;
59;2013-01-01; @DatRickyDude : I would never go to something like Hypnosis..... They would never appreciate my t-shirt jeans and slippers flex. actually..;;@DatRickyDude;;
